weather_station_id,weather_latitude,weather_longitude,nearest_pm25_station_id,assigned_region,nn_distance_km,within_threshold
29846.0,43.27,-79.78,,Regional Municipality of Halton,5.290948505394139,True
30266.0,42.03,-82.9,,City of Windsor (Essex County),32.529368111261576,True
30435.0,49.41,-82.44,,,341.6406217301579,False
30455.0,49.66,-93.73,,,353.6180745549224,False
30578.0,45.38,-75.72,,City of Ottawa,6.9497425630782645,True
30682.0,48.37,-89.33,,Thunder Bay District,3.121883929086323,True
30723.0,44.12,-77.53,,Hastings County,11.257664730313142,True
31010.0,44.22,-78.95,,Regional Municipality of Durham,29.92278116399242,True
31367.0,43.18,-79.4,,Regional Municipality of Niagara,13.583598526086629,True
31688.0,43.67,-79.4,,City of Toronto,2.8671062624822503,True
32128.0,45.34,-80.04,,District of Parry Sound,0.2016322694849868,True
32473.0,42.45,-81.88,,Municipality of Chatham-Kent,27.433995954859505,True
41738.0,45.25,-74.96,,"Stormont, Dundas and Glengarry",31.24423766921935,True
41983.0,43.65,-80.42,,Wellington County,16.647753324791474,True
42123.0,51.29,-80.62,,,534.2455985942495,False
42183.0,44.48,-79.55,,Simcoe County,16.262025909859638,True
42967.0,45.53,-78.27,,District Municipality of Muskoka,61.94237918742826,True
43046.0,44.27,-80.71,,Bruce County,67.01748244822456,True
43104.0,49.69,-88.31,,,162.30421178798488,False
43540.0,44.27,-79.32,,Regional Municipality of York,28.273915095374104,True
43763.0,44.35,-78.3,,Peterborough County,6.488633316833153,True
44123.0,43.18,-79.56,,Regional Municipality of Halton,24.7113850490702,True
44183.0,45.14,-79.4,,District Municipality of Muskoka,37.78658249683353,True
44205.0,44.17,-78.5,,Peterborough County,19.11187916712715,True
44283.0,42.97,-79.33,,Regional Municipality of Niagara,22.50529006234215,True
44303.0,45.43,-79.49,,District of Parry Sound,44.09281095426561,True
44323.0,43.0,-82.3,,Lambton County,7.829237979450244,True
44324.0,48.41,-89.28,,Thunder Bay District,3.485579072491697,True
44343.0,48.76,-92.62,,,248.61177650470813,False
44987.0,44.55,-80.47,,Simcoe County,63.69885965013404,True
45407.0,43.55,-80.22,,Wellington County,3.5639253838848766,True
45607.0,45.23,-81.63,,,101.99909726145017,False
45667.0,43.51,-79.69,,Regional Municipality of Halton,2.751144016112969,True
46507.0,48.65,-93.44,,,307.1098130599876,False
47267.0,44.22,-76.6,,City of Kingston (Frontenac County),6.2840996520997665,True
47307.0,49.79,-94.38,,,402.3873145255705,False
47527.0,45.95,-77.32,,Renfrew County,10.710246837809102,True
47547.0,48.56,-81.39,,,231.77773349492355,False
47567.0,44.64,-75.75,,,77.0123008323814,False
47687.0,47.7,-79.85,,,156.1520034717622,False
48368.0,44.97,-79.3,,District Municipality of Muskoka,40.36749169511781,True
48372.0,45.88,-82.57,,,138.49207457221502,False
48373.0,43.0,-82.31,,Lambton County,7.024660168076144,True
48549.0,43.63,-79.4,,City of Toronto,1.929038682023425,True
48569.0,43.46,-80.38,,Region of Waterloo,10.154282148381364,True
48649.0,43.92,-78.88,,Regional Municipality of Durham,4.431561986779208,True
48788.0,45.88,-82.57,,,138.49207457221502,False
48869.0,49.83,-92.74,,,298.4294484788594,False
48950.0,51.29,-80.61,,,534.2843137372441,False
48952.0,44.23,-78.36,,Peterborough County,8.071844412756201,True
49068.0,45.86,-77.25,,Renfrew County,21.20829689205977,True
49389.0,48.37,-89.32,,Thunder Bay District,2.4383335150037198,True
49488.0,53.82,-89.9,,,606.4588375327135,False
49489.0,47.7,-79.85,,,156.1520034717622,False
49508.0,46.63,-80.8,,Greater Sudbury,21.830692360996863,True
49568.0,45.32,-75.67,,City of Ottawa,12.721884348075191,True
49848.0,48.61,-86.29,,,222.54281215993123,False
49908.0,43.17,-79.94,,City of Hamilton,8.931172725075085,True
50048.0,44.39,-79.74,,Simcoe County,3.1034454801756413,True
50092.0,46.49,-84.51,,Algoma District,16.047023401872313,True
50093.0,43.03,-81.15,,Middlesex County,7.428327713838732,True
50131.0,43.19,-79.17,,Regional Municipality of Niagara,6.2173520629788195,True
50132.0,48.37,-89.32,,Thunder Bay District,2.4383335150037198,True
50248.0,51.07,-93.79,,,440.46229998869933,False
50428.0,44.23,-76.6,,City of Kingston (Frontenac County),6.3821042396418335,True
50460.0,48.57,-81.38,,,232.7881984331188,False
