Barrie, (47045) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Fine Particulate Matter,2020-02-06,3,3,2,2,3,5,4,3,3,3,3,2,2,1,1,2,2,3,3,4,3,3,3,2,
47045,Fine Particulate Matter,2020-02-07,2,2,2,2,2,2,3,3,3,3,3,3,4,4,5,4,4,3,4,4,5,5,6,9,
47045,Fine Particulate Matter,2020-02-08,8,8,5,6,5,4,4,3,4,4,5,7,7,5,7,9,6,6,6,8,11,11,14,17,
47045,Fine Particulate Matter,2020-02-09,18,21,16,13,11,11,10,12,13,10,9,12,18,17,18,26,30,26,26,27,24,15,7,4,
47045,Fine Particulate Matter,2020-02-10,3,4,4,5,6,6,5,8,12,13,7,5,6,4,5,6,6,7,8,10,12,12,14,12,
47045,Fine Particulate Matter,2020-02-11,9,8,8,9,10,9,6,7,6,6,6,7,9,10,9,11,13,15,12,10,9,10,8,6,
47045,Fine Particulate Matter,2020-02-12,7,6,6,6,5,7,9,11,10,9,11,11,13,18,17,15,16,17,15,14,16,16,17,15,
47045,Fine Particulate Matter,2020-02-13,13,14,15,17,16,17,17,13,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,
47045,Fine Particulate Matter,2020-02-14,3,4,4,4,4,5,8,7,4,7,6,5,6,5,6,6,8,7,7,8,7,7,7,9,
47045,Fine Particulate Matter,2020-02-15,6,7,8,9,9,10,12,10,6,5,7,9,9,9,9,9,9,8,10,11,10,10,11,13,
47045,Fine Particulate Matter,2020-02-16,17,20,17,14,14,10,9,8,9,9,8,7,8,8,8,7,4,4,4,4,3,3,2,2,
47045,Fine Particulate Matter,2020-02-17,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,3,5,6,5,4,4,
47045,Fine Particulate Matter,2020-02-18,4,5,5,6,6,6,6,5,3,6,13,13,9,5,-999,-999,1,1,1,1,1,1,1,1,
47045,Fine Particulate Matter,2020-02-19,1,1,1,1,1,2,2,2,3,4,3,4,5,4,4,4,5,4,5,5,6,6,7,5,
47045,Fine Particulate Matter,2020-02-20,2,2,2,2,2,2,4,5,4,4,3,3,3,4,4,5,7,9,9,9,5,13,5,6,
47045,Fine Particulate Matter,2020-02-21,5,5,5,5,5,6,7,7,9,11,13,13,12,11,12,11,12,10,10,13,12,10,10,9,
47045,Fine Particulate Matter,2020-02-22,6,6,7,8,9,9,10,11,13,14,16,15,15,15,15,17,18,19,21,26,25,27,25,19,
47045,Fine Particulate Matter,2020-02-23,16,15,14,13,12,12,12,11,11,11,11,13,14,16,17,16,15,12,15,14,14,14,14,13,
47045,Fine Particulate Matter,2020-02-24,14,15,16,17,17,18,19,19,22,20,15,13,10,6,7,7,8,7,6,6,5,8,8,8,
47045,Fine Particulate Matter,2020-02-25,6,4,7,6,4,3,3,3,4,5,5,6,5,5,5,5,10,11,9,10,10,8,5,4,
47045,Fine Particulate Matter,2020-02-26,4,4,4,3,3,2,2,3,3,3,4,4,5,4,4,4,3,3,4,4,5,3,3,2,
47045,Fine Particulate Matter,2020-02-27,3,3,3,3,3,3,2,2,3,3,3,3,3,4,3,2,4,3,3,3,5,4,4,3,
47045,Fine Particulate Matter,2020-02-28,3,3,2,2,9999,9999,1,1,2,2,2,2,1,2,2,2,2,2,2,8,15,13,10,12,
47045,Fine Particulate Matter,2020-02-29,8,7,8,6,6,4,3,4,5,4,4,5,5,6,6,6,5,5,5,8,14,11,12,20,
47045,Fine Particulate Matter,2020-03-01,12,11,13,14,11,8,3,3,7,7,11,8,3,5,8,10,15,18,17,15,10,10,14,11,
47045,Fine Particulate Matter,2020-03-02,15,10,9,9,8,9,11,12,13,20,23,28,24,18,16,12,9,7,5,6,8,7,14,13,
47045,Fine Particulate Matter,2020-03-03,12,11,11,10,11,13,8,9,8,7,7,9,8,12,13,18,23,27,26,28,24,23,18,14,
47045,Fine Particulate Matter,2020-03-04,12,10,7,7,9,5,5,6,9,10,7,5,3,2,3,3,3,3,2,2,2,2,2,1,
47045,Fine Particulate Matter,2020-03-05,2,2,2,2,1,2,2,3,5,5,3,3,2,2,2,2,2,4,8,5,6,7,9,7,
47045,Fine Particulate Matter,2020-03-06,12,14,9,9,7,6,4,5,5,6,4,3,2,2,2,2,3,2,2,3,4,3,3,3,
47045,Fine Particulate Matter,2020-03-07,3,4,3,2,2,2,3,7,7,5,3,3,4,2,2,3,3,7,15,8,7,7,8,8,
47045,Fine Particulate Matter,2020-03-08,12,11,-999,-999,10,8,10,9,10,9,9,10,12,14,18,16,17,18,14,12,8,5,4,4,
47045,Fine Particulate Matter,2020-03-09,4,5,6,7,7,7,11,9,10,10,11,12,14,19,23,23,22,18,17,17,16,15,13,10,
47045,Fine Particulate Matter,2020-03-10,10,9,7,7,6,6,5,4,4,4,2,2,3,5,8,7,5,5,4,3,3,2,2,2,
47045,Fine Particulate Matter,2020-03-11,4,4,5,5,8,8,8,8,7,7,9,8,8,7,5,5,6,7,5,4,4,4,4,4,
47045,Fine Particulate Matter,2020-03-12,4,6,5,4,5,5,5,6,8,9,10,13,12,11,14,15,14,13,12,15,15,15,10,9,
47045,Fine Particulate Matter,2020-03-13,10,11,12,20,21,21,4,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,
47045,Fine Particulate Matter,2020-03-14,2,2,2,1,2,2,2,2,2,2,2,2,3,3,2,2,3,4,4,4,3,4,4,3,
47045,Fine Particulate Matter,2020-03-15,3,4,3,3,3,3,4,2,1,1,2,2,1,1,2,2,2,2,3,3,3,3,3,4,
47045,Fine Particulate Matter,2020-03-16,7,14,6,4,3,4,3,2,2,4,4,5,3,4,5,5,5,7,11,12,9,8,11,18,
47045,Fine Particulate Matter,2020-03-17,19,20,20,22,20,19,15,10,11,12,12,8,4,3,2,1,2,2,5,4,4,3,3,4,
47045,Fine Particulate Matter,2020-03-18,7,9,8,7,7,10,13,15,11,8,8,6,6,6,6,7,7,7,7,10,7,8,14,5,
47045,Fine Particulate Matter,2020-03-19,5,7,4,5,18,5,9,8,7,5,6,10,13,18,21,21,21,18,18,18,16,17,12,8,
47045,Fine Particulate Matter,2020-03-20,6,5,6,6,4,4,5,5,2,1,1,1,1,1,0,2,4,4,3,2,2,2,2,2,
47045,Fine Particulate Matter,2020-03-21,2,1,1,1,2,1,1,2,2,1,2,3,5,6,8,8,9,7,8,10,7,6,6,7,
47045,Fine Particulate Matter,2020-03-22,7,8,7,5,5,4,5,4,3,3,4,5,4,3,3,3,5,4,3,3,2,3,3,3,
47045,Fine Particulate Matter,2020-03-23,5,4,5,5,6,5,5,7,9,9,8,8,8,7,5,5,6,7,9,9,11,11,9,9,
47045,Fine Particulate Matter,2020-03-24,5,5,6,7,8,7,7,8,6,7,8,9,7,7,7,7,7,7,10,15,16,14,11,8,
47045,Fine Particulate Matter,2020-03-25,12,17,21,11,7,5,6,7,7,8,10,13,14,11,11,12,12,13,13,15,21,35,22,23,
47045,Fine Particulate Matter,2020-03-26,23,26,25,24,27,31,25,22,15,15,14,16,21,24,16,9,4,3,2,2,2,2,1,1,
47045,Fine Particulate Matter,2020-03-27,1,1,2,2,2,2,2,2,4,4,4,4,4,5,6,8,13,24,18,12,9999,19,12,11,
47045,Fine Particulate Matter,2020-03-28,15,16,17,23,15,11,8,7,9,8,9,7,6,5,5,5,6,7,8,8,8,7,8,8,
47045,Fine Particulate Matter,2020-03-29,7,5,6,10,6,6,4,4,4,2,2,3,2,3,4,3,3,4,4,3,2,2,2,2,
47045,Fine Particulate Matter,2020-03-30,3,3,3,3,2,2,3,3,3,3,3,3,3,6,10,9,6,8,10,7,6,4,3,3,
47045,Fine Particulate Matter,2020-03-31,3,3,3,3,3,3,2,2,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,5,
47045,Fine Particulate Matter,2020-04-01,4,4,4,4,4,9,8,6,4,2,3,3,3,6,6,5,8,9,7,7,5,5,4,4,
47045,Fine Particulate Matter,2020-04-02,4,3,3,3,3,3,4,3,3,3,4,7,11,6,7,7,6,5,6,6,5,5,4,4,
47045,Fine Particulate Matter,2020-04-03,6,6,5,4,3,3,3,3,2,2,3,3,4,4,5,5,6,8,9,9,9,8,6,6,
47045,Fine Particulate Matter,2020-04-04,5,4,5,5,5,3,2,2,3,4,4,4,4,7,7,6,6,14,9,10,9,9,9999,9999,
47045,Fine Particulate Matter,2020-04-05,5,3,4,4,5,8,6,4,4,4,4,3,2,2,2,2,2,2,2,3,4,4,3,2,
47045,Fine Particulate Matter,2020-04-06,4,3,4,3,4,4,6,5,4,3,2,2,2,4,8,8,10,9,10,11,9,10,9,7,
47045,Fine Particulate Matter,2020-04-07,8,7,7,7,7,8,10,13,8,6,5,5,5,7,6,7,8,12,22,9999,10,7,5,5,
47045,Fine Particulate Matter,2020-04-08,7,7,7,10,7,7,8,10,18,20,18,21,10,8,7,8,8,7,7,9,21,22,17,19,
47045,Fine Particulate Matter,2020-04-09,12,12,8,2,2,2,2,2,3,2,2,2,1,2,2,3,2,2,2,2,3,3,2,3,
47045,Fine Particulate Matter,2020-04-10,3,3,3,4,4,3,2,2,2,3,3,2,2,2,2,1,1,2,3,5,4,4,3,3,
47045,Fine Particulate Matter,2020-04-11,5,5,3,3,3,3,3,3,5,4,2,3,4,3,3,3,3,3,4,14,21,29,23,17,
47045,Fine Particulate Matter,2020-04-12,10,9,9,13,12,14,14,14,20,20,16,15,13,16,16,14,20,16,32,19,12,13,14,21,
47045,Fine Particulate Matter,2020-04-13,8,17,12,9,9,8,5,6,9,5,7,6,5,4,2,1,1,1,2,1,3,3,3,5,
47045,Fine Particulate Matter,2020-04-14,3,3,4,4,4,4,5,4,4,4,6,5,5,7,10,11,16,10,7,8,6,6,4,3,
47045,Fine Particulate Matter,2020-04-15,3,5,6,6,6,6,6,5,6,7,6,4,4,3,4,2,2,2,3,3,3,5,2,2,
47045,Fine Particulate Matter,2020-04-16,2,3,5,4,4,4,5,3,4,5,4,5,5,8,7,7,5,6,7,6,7,7,6,5,
47045,Fine Particulate Matter,2020-04-17,5,5,6,4,4,5,5,5,5,5,6,6,6,7,7,8,12,16,20,17,16,13,13,10,
47045,Fine Particulate Matter,2020-04-18,9,15,12,12,11,12,12,10,9,9,7,5,5,9,13,13,13,16,18,9999,26,25,26,20,
47045,Fine Particulate Matter,2020-04-19,17,11,10,10,11,12,13,14,14,13,13,13,12,7,4,3,3,3,3,3,3,4,4,3,
47045,Fine Particulate Matter,2020-04-20,4,6,6,6,7,10,11,7,3,2,4,4,7,8,10,11,11,12,11,10,8,6,5,3,
47045,Fine Particulate Matter,2020-04-21,3,3,4,5,3,2,2,2,1,1,1,1,1,1,1,1,2,3,3,3,4,4,3,3,
47045,Fine Particulate Matter,2020-04-22,4,4,4,4,4,4,3,3,4,5,6,6,6,6,6,6,5,6,7,11,9,12,9,8,
47045,Fine Particulate Matter,2020-04-23,7,7,8,13,11,14,12,9,6,6,6,5,4,4,4,4,7,11,19,22,14,7,8,14,
47045,Fine Particulate Matter,2020-04-24,8,12,10,5,4,3,4,3,4,4,5,5,6,5,6,5,5,13,13,9,7,14,13,13,
47045,Fine Particulate Matter,2020-04-25,11,10,11,8,8,9,8,8,5,5,3,3,4,3,4,3,5,8,6,31,21,12,14,14,
47045,Fine Particulate Matter,2020-04-26,14,14,20,9,7,9,7,9,6,10,8,7,7,7,5,5,6,5,9,8,13,10,7,6,
47045,Fine Particulate Matter,2020-04-27,9999,6,9999,9999,7,8,13,4,2,2,2,2,3,3,3,5,4,4,5,6,18,24,9,10,
47045,Fine Particulate Matter,2020-04-28,15,9999,9,9,21,19,14,15,17,16,16,15,11,10,12,12,8,9,11,10,12,14,12,9,
47045,Fine Particulate Matter,2020-04-29,6,9,7,10,9,6,4,5,5,8,7,12,15,13,10,12,13,16,12,18,15,25,31,25,
47045,Fine Particulate Matter,2020-04-30,15,15,15,11,10,11,8,8,6,7,9,8,10,8,9,10,12,11,14,6,3,4,13,8,
47045,Fine Particulate Matter,2020-05-01,7,7,6,7,4,3,2,2,2,2,1,1,1,2,3,3,4,4,5,6,9,17,21,10,
47045,Fine Particulate Matter,2020-05-02,12,22,14,8,8,6,5,3,5,6,7,9,7,10,8,7,7,7,8,8,8,9,11,12,
47045,Fine Particulate Matter,2020-05-03,11,10,12,12,12,10,8,6,6,3,2,2,3,2,2,2,3,3,4,4,5,5,3,3,
47045,Fine Particulate Matter,2020-05-04,3,2,2,3,2,3,3,2,3,3,4,5,5,4,4,4,6,6,5,5,5,6,5,3,
47045,Fine Particulate Matter,2020-05-05,3,5,9999,6,6,5,4,3,4,3,3,3,5,4,5,5,4,5,4,4,4,3,3,3,
47045,Fine Particulate Matter,2020-05-06,11,2,2,8,5,2,3,2,2,2,3,4,4,4,5,5,4,3,3,4,4,3,4,3,
47045,Fine Particulate Matter,2020-05-07,5,5,4,4,4,4,2,3,4,4,4,5,5,5,5,3,3,3,4,6,5,3,2,2,
47045,Fine Particulate Matter,2020-05-08,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,
47045,Fine Particulate Matter,2020-05-09,2,2,2,2,2,3,3,3,5,4,4,4,3,3,3,4,4,6,6,5,4,3,3,13,
47045,Fine Particulate Matter,2020-05-10,3,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,2,2,3,3,3,3,3,2,
47045,Fine Particulate Matter,2020-05-11,2,3,3,4,3,3,3,2,2,3,3,2,1,2,3,4,6,5,5,5,6,6,5,4,
47045,Fine Particulate Matter,2020-05-12,3,5,6,6,6,6,4,3,4,5,4,5,6,5,5,6,6,5,5,6,7,7,7,4,
47045,Fine Particulate Matter,2020-05-13,5,5,5,6,5,6,6,3,4,5,4,5,5,5,5,6,7,8,8,9,10,13,9,9,
47045,Fine Particulate Matter,2020-05-14,14,14,19,13,15,14,13,17,11,8,8,8,10,11,12,11,11,14,9999,13,12,18,25,30,
47045,Fine Particulate Matter,2020-05-15,37,43,38,44,41,35,39,40,22,13,7,14,3,2,2,3,3,4,4,4,4,5,5,5,
47045,Fine Particulate Matter,2020-05-16,4,3,3,4,3,3,3,2,2,3,4,4,3,3,3,3,5,6,7,11,10,11,11,11,
47045,Fine Particulate Matter,2020-05-17,16,28,9999,18,21,26,24,11,9,7,6,5,4,5,5,6,6,7,8,9,9,13,6,12,
47045,Fine Particulate Matter,2020-05-18,9,12,11,8,11,4,5,5,4,4,8,13,10,9,11,9,7,10,10,11,16,11,12,11,
47045,Fine Particulate Matter,2020-05-19,15,12,14,10,8,7,7,9,8,9,10,11,9,9,10,9,9,10,13,14,14,30,37,20,
47045,Fine Particulate Matter,2020-05-20,7,7,6,7,7,8,6,6,5,6,5,4,4,3,2,5,4,4,5,10,13,21,25,14,
47045,Fine Particulate Matter,2020-05-21,18,17,11,15,11,9,6,5,4,5,4,3,3,3,4,6,8,7,8,9,10,15,15,9999,
47045,Fine Particulate Matter,2020-05-22,9999,9999,9999,9999,9999,9999,9999,19,15,12,11,10,10,8,7,6,6,7,9,11,8,9,13,9999,
47045,Fine Particulate Matter,2020-05-23,14,8,11,16,14,12,11,8,8,12,9,9,8,8,10,11,9,8,8,8,9,11,16,19,
47045,Fine Particulate Matter,2020-05-24,19,13,11,10,10,10,9,9,12,9,7,7,9,11,13,14,11,18,14,8,9,7,9,9,
47045,Fine Particulate Matter,2020-05-25,10,10,12,12,16,18,16,14,9,5,5,5,4,3,3,4,3,3,5,16,14,28,14,37,
47045,Fine Particulate Matter,2020-05-26,19,25,16,32,19,13,16,13,13,11,11,11,13,13,11,12,12,13,11,15,14,15,26,16,
47045,Fine Particulate Matter,2020-05-27,17,22,17,12,16,22,17,9,8,5,6,6,9,9,13,17,12,8,9,7,11,4,5,9,
47045,Fine Particulate Matter,2020-05-28,13,23,14,9,13,5,5,4,3,5,7,6,9,13,9,15,2,0,2,1,2,7,11,18,
47045,Fine Particulate Matter,2020-05-29,23,15,4,5,9,9,10,9,6,4,5,9,10,2,9999,0,0,0,1,1,1,1,7,5,
47045,Fine Particulate Matter,2020-05-30,9999,9999,1,1,1,2,1,2,2,4,12,4,5,14,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,
47045,Fine Particulate Matter,2020-05-31,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
47045,Fine Particulate Matter,2020-06-01,9999,9999,9999,5,2,2,4,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,4,5,1,1,
47045,Fine Particulate Matter,2020-06-02,2,1,2,2,4,5,4,6,6,4,3,3,5,5,3,4,7,14,16,16,28,23,8,15,
47045,Fine Particulate Matter,2020-06-03,9999,9999,18,15,18,14,22,17,17,14,13,18,16,15,9,8,6,9,12,15,16,10,11,6,
47045,Fine Particulate Matter,2020-06-04,4,4,4,3,3,4,3,5,6,8,12,10,4,5,9,12,9,8,10,27,10,11,20,15,
47045,Fine Particulate Matter,2020-06-05,13,13,16,21,22,21,12,11,12,11,12,10,11,10,8,7,7,5,6,8,15,13,9999,9999,
47045,Fine Particulate Matter,2020-06-06,14,3,3,4,4,4,2,2,3,2,1,0,0,1,2,3,2,3,2,6,3,4,2,2,
47045,Fine Particulate Matter,2020-06-07,3,1,9999,9999,9999,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,9999,
47045,Fine Particulate Matter,2020-06-08,9999,9999,9999,0,1,2,1,0,0,0,0,0,0,0,1,0,1,1,1,3,7,5,5,3,
47045,Fine Particulate Matter,2020-06-09,4,4,3,12,13,11,7,11,10,6,8,7,7,12,17,11,12,8,6,9,8,13,19,12,
47045,Fine Particulate Matter,2020-06-10,8,10,11,12,9999,9999,14,13,17,23,24,26,32,30,34,31,30,28,15,6,2,8,4,9999,
47045,Fine Particulate Matter,2020-06-11,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
47045,Fine Particulate Matter,2020-06-12,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
47045,Fine Particulate Matter,2020-06-13,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
47045,Fine Particulate Matter,2020-06-14,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
47045,Fine Particulate Matter,2020-06-15,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,21,
47045,Fine Particulate Matter,2020-06-16,15,11,7,6,-999,-999,12,5,0,9999,9999,9999,9999,9999,9999,9999,3,3,3,14,22,7,7,18,
47045,Fine Particulate Matter,2020-06-17,12,13,13,10,10,13,13,15,7,4,5,3,3,3,3,3,4,4,6,12,18,14,13,17,
47045,Fine Particulate Matter,2020-06-18,23,23,22,18,9999,9999,16,12,10,8,6,9999,4,4,5,6,6,6,9,14,16,22,17,20,
47045,Fine Particulate Matter,2020-06-19,22,29,26,28,32,23,18,9999,9999,-999,-999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
47045,Fine Particulate Matter,2020-06-20,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
47045,Fine Particulate Matter,2020-06-21,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
47045,Fine Particulate Matter,2020-06-22,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,
47045,Fine Particulate Matter,2020-06-23,9999,9999,9999,9999,9999,9999,9999,9999,-999,-999,9999,9999,9999,9999,9999,9999,9999,9999,9999,2,3,4,3,3,
47045,Fine Particulate Matter,2020-06-24,2,2,2,2,2,3,3,5,6,8,7,6,10,8,11,8,5,4,5,5,9,7,9,8,
47045,Fine Particulate Matter,2020-06-25,9,11,7,5,4,4,4,3,2,4,5,5,2,3,2,2,2,2,6,9,6,5,7,6,
47045,Fine Particulate Matter,2020-06-26,5,4,4,4,4,3,2,3,3,4,5,4,4,4,4,3,3,3,4,4,3,13,6,2,
47045,Fine Particulate Matter,2020-06-27,3,2,3,3,3,4,4,4,6,7,8,7,9,7,7,7,7,6,5,7,7,10,8,9,
47045,Fine Particulate Matter,2020-06-28,8,7,7,6,4,3,3,4,3,3,5,5,4,3,3,4,6,6,6,4,3,9,9,6,
47045,Fine Particulate Matter,2020-06-29,5,5,4,7,8,7,7,6,6,6,6,7,5,5,5,6,5,6,7,5,3,2,2,3,
47045,Fine Particulate Matter,2020-06-30,5,6,6,5,6,7,3,3,2,3,3,2,5,4,2,2,2,2,2,2,3,5,6,10,
47045,Fine Particulate Matter,2020-07-01,9,7,6,9,7,7,5,5,4,4,6,7,7,5,6,7,7,7,7,8,9999,9999,9999,15,
47045,Fine Particulate Matter,2020-07-02,14,14,13,12,13,15,13,11,12,12,16,18,16,14,14,13,10,7,6,7,7,7,6,7,
47045,Fine Particulate Matter,2020-07-03,8,7,7,7,8,9,9,10,10,10,9,8,8,8,9,7,7,7,6,7,8,9,9,8,
47045,Fine Particulate Matter,2020-07-04,6,5,5,7,4,4,7,5,4,4,6,9,6,4,3,2,3,7,6,7,4,2,3,5,
47045,Fine Particulate Matter,2020-07-05,4,3,4,5,6,9,9,6,4,6,6,5,4,5,7,3,2,4,4,4,5,6,5,5,
