station_id,station_name,climate_id,n_rows,date_time,longitude_x,latitude_y,max_temp_degc,min_temp_degc,mean_temp_degc,heat_deg_days_degc,cool_deg_days_degc,total_rain_mm,total_snow_cm,total_precip_mm,snow_on_grnd_cm,dir_of_max_gust_deg,spd_of_max_gust_km_h
3920,PICKLE LAKE (AUT),6016525,2192,0.0,0.0,0.0,0.01322992700729927,0.01322992700729927,0.01322992700729927,0.01322992700729927,0.01322992700729927,1.0,1.0,0.013686131386861315,0.5136861313868614,0.3891423357664234,0.3891423357664234
3932,BARWICK,6020559,2192,0.0,0.0,0.0,0.0036496350364963502,0.0036496350364963502,0.0036496350364963502,0.0036496350364963502,0.0036496350364963502,0.0036496350364963502,0.0036496350364963502,0.0036496350364963502,0.005018248175182482,1.0,1.0
3966,RAWSON LAKE,6036904,2192,0.0,0.0,0.0,0.004105839416058394,0.004562043795620438,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005,0.002737226277372263,0.002737226277372263,0.002737226277372263,0.002737226277372263,1.0,1.0
3987,ARMSTRONG (AUT),6040325,2192,0.0,0.0,0.0,0.16012773722627738,0.16012773722627738,0.16012773722627738,0.16012773722627738,0.16012773722627738,1.0,1.0,0.23083941605839417,0.458485401459854,0.5693430656934306,0.5688868613138686
4057,UPSALA (AUT),6049095,2192,0.0,0.0,0.0,0.011861313868613138,0.011861313868613138,0.011861313868613138,0.011861313868613138,0.011861313868613138,1.0,1.0,0.012773722627737226,0.5223540145985401,0.5447080291970803,0.5428832116788321
4061,WELCOME ISLAND (AUT),6049443,2192,0.0,0.0,0.0,0.005930656934306569,0.005930656934306569,0.005930656934306569,0.005930656934306569,0.005930656934306569,1.0,1.0,0.44114963503649635,1.0,0.1760948905109489,0.17153284671532848
4121,MASSEY,6065006,2192,0.0,0.0,0.0,0.3499087591240876,0.3499087591240876,0.3499087591240876,0.3499087591240876,0.3499087591240876,0.3499087591240876,0.3499087591240876,0.3499087591240876,0.3494525547445255,1.0,1.0
4140,BONNER LAKE,6070QK6,2192,0.0,0.0,0.0,0.03239051094890511,0.03193430656934307,0.05063868613138686,0.05063868613138686,0.05063868613138686,0.0333029197080292,0.03239051094890511,0.03239051094890511,0.03193430656934307,1.0,1.0
4168,MOOSONEE UA,6075425,2192,0.0,0.0,0.0,0.8458029197080292,0.8458029197080292,0.8458029197080292,0.8458029197080292,0.8458029197080292,0.8458029197080292,0.8458029197080292,0.8458029197080292,0.8453467153284672,1.0,1.0
4236,BROCKVILLE PCC,6100971,2192,0.0,0.0,0.0,0.49635036496350365,0.49635036496350365,0.49635036496350365,0.49635036496350365,0.49635036496350365,0.49635036496350365,0.49635036496350365,0.49635036496350365,0.49635036496350365,1.0,1.0
4243,CHALK RIVER AECL,6101335,2192,0.0,0.0,0.0,0.6341240875912408,0.6341240875912408,0.6341240875912408,0.6341240875912408,0.6341240875912408,0.6341240875912408,0.6341240875912408,0.6341240875912408,0.6336678832116789,1.0,1.0
4255,CORNWALL,6101874,2192,0.0,0.0,0.0,0.010948905109489052,0.010948905109489052,0.010948905109489052,0.010948905109489052,0.010948905109489052,0.010948905109489052,0.010948905109489052,0.010948905109489052,0.011405109489051095,1.0,1.0
4268,DRUMMOND CENTRE,6102J13,2192,0.0,0.0,0.0,0.017791970802919707,0.017791970802919707,0.017791970802919707,0.017791970802919707,0.017791970802919707,0.017791970802919707,0.017791970802919707,0.017791970802919707,0.01824817518248175,1.0,1.0
4287,HARTINGTON IHD,6103367,2192,0.0,0.0,0.0,0.02281021897810219,0.02281021897810219,0.02281021897810219,0.02281021897810219,0.02281021897810219,0.02281021897810219,0.02281021897810219,0.02281021897810219,0.02281021897810219,1.0,1.0
4308,LYNDHURST SHAWMERE,6104725,2192,0.0,0.0,0.0,0.7358576642335767,0.7413321167883211,0.7413321167883211,0.7413321167883211,0.7413321167883211,0.7358576642335767,0.7358576642335767,0.7358576642335767,0.7358576642335767,1.0,1.0
4333,OTTAWA CDA,6105976,2192,0.0,0.0,0.0,0.04698905109489051,0.05748175182481752,0.05748175182481752,0.05748175182481752,0.05748175182481752,0.04744525547445255,0.04744525547445255,0.04744525547445255,0.04698905109489051,1.0,1.0
4352,PETAWAWA A,6106398,2192,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4377,ST. ALBERT,6107276,2192,0.0,0.0,0.0,0.0009124087591240876,0.0009124087591240876,0.0009124087591240876,0.0009124087591240876,0.0009124087591240876,0.0009124087591240876,0.0009124087591240876,0.0009124087591240876,0.0009124087591240876,1.0,1.0
4432,COLDWATER WARMINSTER,6111769,2192,0.0,0.0,0.0,0.05656934306569343,0.05611313868613139,0.05656934306569343,0.05656934306569343,0.05656934306569343,0.05611313868613139,0.05611313868613139,0.05611313868613139,0.05611313868613139,1.0,1.0
4509,SHANTY BAY,6117684,2192,0.0,0.0,0.0,0.0013686131386861315,0.0013686131386861315,0.0013686131386861315,0.0013686131386861315,0.0013686131386861315,0.0013686131386861315,0.0013686131386861315,0.0013686131386861315,0.0018248175182481751,1.0,1.0
4525,UDORA,6119055,2192,0.0,0.0,0.0,0.005018248175182482,0.005474452554744526,0.005474452554744526,0.005474452554744526,0.005474452554744526,0.0036496350364963502,0.0036496350364963502,0.0036496350364963502,0.004105839416058394,1.0,1.0
4575,KINCARDINE,6124127,2192,0.0,0.0,0.0,0.8946167883211679,0.8946167883211679,0.8946167883211679,0.8946167883211679,0.8946167883211679,0.8946167883211679,0.8946167883211679,0.8946167883211679,0.8932481751824818,1.0,1.0
