Barrie, (47045) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Fine Particulate Matter,2022-02-11,7,8,8,8,8,9,6,10,13,12,12,11,9,8,5,5,4,4,4,4,5,6,8,12,
47045,Fine Particulate Matter,2022-02-12,13,17,6,2,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,5,5,
47045,Fine Particulate Matter,2022-02-13,4,4,4,4,4,4,3,3,2,2,2,2,2,2,3,4,4,4,5,6,6,5,5,5,
47045,Fine Particulate Matter,2022-02-14,6,8,7,6,7,6,3,4,4,3,3,3,3,3,3,3,4,6,5,7,7,6,6,5,
47045,Fine Particulate Matter,2022-02-15,5,5,5,7,8,9,10,13,7,3,2,2,2,2,3,3,3,3,3,3,4,5,9,10,
47045,Fine Particulate Matter,2022-02-16,11,12,12,11,12,11,10,10,10,11,12,15,16,16,16,18,21,19,18,17,14,12,11,10,
47045,Fine Particulate Matter,2022-02-17,10,9,9,7,6,7,10,21,12,8,12,13,11,10,11,15,8,11,9,6,5,4,2,1,
47045,Fine Particulate Matter,2022-02-18,1,2,2,2,1,1,2,2,2,2,2,2,3,2,2,2,3,4,4,4,4,4,4,4,
47045,Fine Particulate Matter,2022-02-19,5,7,7,7,6,4,4,4,4,3,3,4,3,3,3,3,3,4,3,3,3,3,4,5,
47045,Fine Particulate Matter,2022-02-20,3,3,4,3,3,3,4,5,4,3,4,4,4,4,5,5,5,5,5,5,5,6,7,9,
47045,Fine Particulate Matter,2022-02-21,10,9,7,7,8,8,8,9,9,8,7,7,6,6,5,8,8,5,3,3,3,3,3,3,
47045,Fine Particulate Matter,2022-02-22,4,4,4,4,5,5,5,5,7,7,8,8,9,9,10,10,8,6,9,10,8,7,3,4,
47045,Fine Particulate Matter,2022-02-23,3,2,3,3,3,4,3,3,4,3,3,3,4,4,4,3,4,5,5,5,4,4,5,6,
47045,Fine Particulate Matter,2022-02-24,6,6,4,3,3,3,3,3,3,2,2,3,3,2,2,3,3,3,3,3,4,3,3,3,
47045,Fine Particulate Matter,2022-02-25,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,3,4,
47045,Fine Particulate Matter,2022-02-26,4,4,5,4,5,4,5,4,5,5,5,5,5,6,6,6,8,10,10,10,9,9,9,10,
47045,Fine Particulate Matter,2022-02-27,12,14,16,15,14,14,12,10,8,5,2,2,2,2,2,2,3,3,3,3,3,3,3,3,
47045,Fine Particulate Matter,2022-02-28,3,3,5,4,5,6,7,7,7,3,3,4,4,4,3,4,5,6,6,9,8,6,5,5,
47045,Fine Particulate Matter,2022-03-01,5,6,5,5,5,5,5,5,7,8,8,9,9,12,20,26,25,22,18,14,10,7,6,6,
47045,Fine Particulate Matter,2022-03-02,7,7,7,7,6,3,4,4,3,2,2,3,2,3,3,3,3,4,5,5,5,5,2,2,
47045,Fine Particulate Matter,2022-03-03,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,
47045,Fine Particulate Matter,2022-03-04,8,7,7,7,6,5,5,7,10,14,11,7,6,5,4,4,6,6,9,10,12,14,14,15,
47045,Fine Particulate Matter,2022-03-05,16,18,15,13,12,11,12,14,14,22,24,12,10,7,6,4,3,5,10,10,10,10,10,10,
47045,Fine Particulate Matter,2022-03-06,11,10,11,12,13,15,16,14,6,5,6,6,7,7,5,5,5,4,3,3,2,2,2,2,
47045,Fine Particulate Matter,2022-03-07,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,1,2,2,2,1,1,1,2,2,
47045,Fine Particulate Matter,2022-03-08,2,2,2,2,2,2,3,3,2,2,2,1,2,2,2,3,5,5,7,8,8,10,10,8,
