Barrie, (47045) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Fine Particulate Matter,2023-01-01,5,5,5,5,5,5,7,8,8,7,7,7,9,10,10,10,10,10,11,11,11,11,9,8,
47045,Fine Particulate Matter,2023-01-02,9,9,9,9,10,11,11,10,9,8,9,8,8,8,7,8,8,9,9,11,11,9,15,14,
47045,Fine Particulate Matter,2023-01-03,11,12,12,13,14,14,12,10,9,8,9,8,8,9,10,9,7,6,6,6,6,5,5,5,
47045,Fine Particulate Matter,2023-01-04,5,5,4,4,4,4,4,5,4,4,5,4,4,3,3,2,2,1,2,2,1,1,1,1,
47045,Fine Particulate Matter,2023-01-05,1,2,3,4,6,8,9,10,12,11,11,8,5,4,6,8,7,7,8,9,10,11,12,12,
47045,Fine Particulate Matter,2023-01-06,12,11,11,11,12,12,13,13,13,11,7,6,5,4,2,2,3,3,5,6,6,6,4,4,
47045,Fine Particulate Matter,2023-01-07,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,
47045,Fine Particulate Matter,2023-01-08,3,3,3,3,3,2,2,3,4,4,4,3,3,3,3,4,4,4,4,6,9,14,16,15,
47045,Fine Particulate Matter,2023-01-09,13,13,12,10,9,9,9,8,8,9,9,8,9,10,10,10,12,13,11,8,5,4,3,2,
47045,Fine Particulate Matter,2023-01-10,2,3,3,2,2,2,3,3,3,3,4,4,4,4,5,5,6,7,13,18,8,5,5,4,
47045,Fine Particulate Matter,2023-01-11,4,4,4,3,3,3,3,3,3,3,4,5,6,7,7,6,7,7,8,8,9,9,9,10,
47045,Fine Particulate Matter,2023-01-12,10,10,10,10,11,11,13,15,16,18,21,23,26,30,26,23,22,19,15,12,11,13,10,8,
47045,Fine Particulate Matter,2023-01-13,9,7,6,7,7,6,5,4,3,3,3,2,2,2,2,2,2,3,4,3,3,3,3,3,
47045,Fine Particulate Matter,2023-01-14,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,3,2,3,3,3,3,4,4,5,
47045,Fine Particulate Matter,2023-01-15,13,9,5,4,5,5,5,5,7,5,4,5,5,5,5,5,7,7,7,8,9,11,11,11,
47045,Fine Particulate Matter,2023-01-16,11,14,14,11,9,8,7,6,5,5,4,5,5,5,5,5,5,6,5,5,6,6,6,7,
47045,Fine Particulate Matter,2023-01-17,6,5,4,4,4,4,3,2,3,4,6,7,9,10,10,15,15,9,8,10,9,8,7,6,
47045,Fine Particulate Matter,2023-01-18,4,3,2,2,2,2,1,3,3,4,4,4,5,4,3,3,2,2,2,3,3,4,3,3,
47045,Fine Particulate Matter,2023-01-19,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,
47045,Fine Particulate Matter,2023-01-20,3,4,5,5,5,4,4,5,5,6,5,4,3,2,2,2,2,2,2,3,3,3,3,3,
