Barrie, (47045) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Fine Particulate Matter,2024-01-01,4,4,3,3,2,1,3,7,7,3,3,2,2,3,3,2,2,2,3,3,2,2,2,2,
47045,Fine Particulate Matter,2024-01-02,2,3,3,3,3,4,5,3,3,4,6,7,6,7,9,12,12,12,14,15,15,14,15,14,
47045,Fine Particulate Matter,2024-01-03,11,8,7,7,7,7,7,7,8,8,7,7,8,4,4,3,3,4,6,4,4,2,2,1,
47045,Fine Particulate Matter,2024-01-04,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,2,
47045,Fine Particulate Matter,2024-01-05,2,3,3,3,3,3,3,3,4,4,4,5,7,9,10,11,11,11,12,13,12,11,12,13,
47045,Fine Particulate Matter,2024-01-06,13,14,14,16,16,16,17,18,13,13,15,17,12,8,6,6,7,8,7,6,5,4,4,6,
47045,Fine Particulate Matter,2024-01-07,10,8,7,5,5,4,5,5,5,5,5,6,7,6,7,6,7,7,8,8,7,7,7,8,
47045,Fine Particulate Matter,2024-01-08,7,7,7,6,6,5,3,4,7,5,4,3,3,3,3,3,4,5,9,9,19,9,9,12,
47045,Fine Particulate Matter,2024-01-09,15,15,15,11,9,8,6,6,6,7,8,7,5,3,3,3,9,3,1,1,1,2,2,2,
47045,Fine Particulate Matter,2024-01-10,3,3,3,2,2,3,2,2,2,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,
47045,Fine Particulate Matter,2024-01-11,3,3,2,2,2,3,3,3,3,5,9,10,11,11,9,9,10,11,11,11,9,6,4,3,
47045,Fine Particulate Matter,2024-01-12,3,3,3,3,3,2,2,3,9999,9999,3,2,3,3,3,8,4,4,4,4,4,4,3,1,
47045,Fine Particulate Matter,2024-01-13,1,3,3,2,2,4,3,3,3,4,4,4,5,6,6,5,1,1,2,2,1,1,1,1,
