Barrie, (47045) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Fine Particulate Matter,2021-01-01,3,4,4,5,11,5,5,5,7,7,8,6,5,5,5,9999,9999,9999,9999,9999,9,9,3,3,
47045,Fine Particulate Matter,2021-01-02,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,13,30,7,6,6,5,4,4,
47045,Fine Particulate Matter,2021-01-03,5,5,5,6,5,5,6,6,6,6,7,7,9,8,9,9,10,11,10,10,11,9,8,7,
47045,Fine Particulate Matter,2021-01-04,9,11,8,9,8,7,7,6,7,6,4,3,8,9,11,6,9,9999,15,9999,22,17,18,18,
47045,Fine Particulate Matter,2021-01-05,19,19,19,18,14,16,17,17,16,11,8,7,7,7,7,7,9,11,10,14,12,12,8,7,
47045,Fine Particulate Matter,2021-01-06,7,7,6,4,3,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,
47045,Fine Particulate Matter,2021-01-07,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,6,7,6,6,6,6,6,5,
47045,Fine Particulate Matter,2021-01-08,5,4,4,4,3,3,3,2,3,3,3,3,3,4,4,4,6,5,5,5,5,5,5,5,
47045,Fine Particulate Matter,2021-01-09,5,5,4,4,3,2,3,4,4,3,2,2,2,2,2,2,2,2,2,4,4,4,3,3,
47045,Fine Particulate Matter,2021-01-10,4,4,4,4,4,3,3,4,5,5,5,4,3,3,3,4,4,5,10,7,5,4,4,5,
47045,Fine Particulate Matter,2021-01-11,6,6,6,7,6,6,6,7,10,24,33,26,33,9999,40,38,29,26,30,23,21,20,19,16,
47045,Fine Particulate Matter,2021-01-12,15,14,13,12,11,11,11,13,15,19,21,24,20,13,11,10,23,14,12,11,15,18,23,24,
47045,Fine Particulate Matter,2021-01-13,20,21,21,22,20,19,20,16,15,19,23,24,26,25,25,22,33,25,25,26,31,29,29,29,
47045,Fine Particulate Matter,2021-01-14,30,31,32,31,31,31,32,31,30,27,24,27,26,27,25,22,25,29,29,27,20,21,17,21,
